,Gesamt,Statistik,Detail_Statistik,Grundbuch,Detail_Grundbuch,Unternehmenseigentümer,Detail_Unternehmenseigentümer
DE,4,3,2011,4,Justified interest,4,"Costs, no BO"
AT,2,3,2011,2,Costs,2,Costs
B,4,0,0,3,Costs,4,"Costs, BO not public"
CZ,2,4,2011,1,Open,1,Open data
DK,1,1,2021,1,Open,1,Open data
F,1,0,0,1,Open data (legal entities),1,"Costs, BO open data"
GR,4,0,0,4,Justified interest,3,"Open, BO not public"
IRE,2,2,2016,2,Costs,3,"Costs, BO open data"
NL,4,4,2018,2,Costs,5,"na, no BO"
NO,2,2,2021,2,Open,2,"Open, no BO"
ES,4,5,0,3,High costs,5,"Costs, no BO"
CH,3,1,2020,2,Open,5,"na, no BO"
UK,1,2,2019,1,Open data (legal entities),1,Open Data